num_evaluations,best_reward,best_program
1,-0.625,DEF run m( REPEAT R=2 r( IFELSE c( frontIsClear c) i( move i) ELSE e( move e) r) move move turnLeft m)
4,-0.3125,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( WHILE c( markersPresent c) w( move w) e) move move turnLeft move m)
5,0.0,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) WHILE c( markersPresent c) w( move move w) m)
18,0.003125,DEF run m( REPEAT R=0 r( move r) turnRight move move m)
25,0.00625,DEF run m( REPEAT R=0 r( move r) turnRight IFELSE c( leftIsClear c) i( move i) ELSE e( move e) move m)
533,0.021875,DEF run m( IFELSE c( not c( frontIsClear c) c) i( turnRight i) ELSE e( turnRight e) WHILE c( noMarkersPresent c) w( move turnLeft w) m)
650,0.028124999999999997,DEF run m( IFELSE c( not c( frontIsClear c) c) i( turnRight i) ELSE e( turnRight e) WHILE c( noMarkersPresent c) w( move turnLeft w) m)
2005,0.034375,DEF run m( IF c( rightIsClear c) i( putMarker pickMarker i) WHILE c( noMarkersPresent c) w( turnRight move pickMarker w) m)
9264,0.040624999999999994,DEF run m( WHILE c( frontIsClear c) w( turnLeft move turnRight turnLeft move putMarker w) m)
10503,0.043750000000000004,DEF run m( REPEAT R=6 r( WHILE c( frontIsClear c) w( move w) IF c( noMarkersPresent c) i( turnRight move i) r) m)
10521,0.04687500000000001,DEF run m( REPEAT R=6 r( WHILE c( frontIsClear c) w( turnLeft move w) IF c( noMarkersPresent c) i( turnRight move i) r) m)
10539,0.05,DEF run m( REPEAT R=6 r( WHILE c( frontIsClear c) w( turnRight move w) IF c( noMarkersPresent c) i( move turnRight i) r) m)
10624,0.05000000000000002,DEF run m( REPEAT R=6 r( WHILE c( frontIsClear c) w( move w) IF c( noMarkersPresent c) i( turnRight move i) r) m)
10681,0.059375000000000004,DEF run m( REPEAT R=6 r( WHILE c( frontIsClear c) w( pickMarker move w) IF c( noMarkersPresent c) i( turnRight move i) r) m)
10903,0.05937500000000001,DEF run m( REPEAT R=6 r( WHILE c( frontIsClear c) w( pickMarker move w) IF c( noMarkersPresent c) i( turnRight move i) r) m)
10913,0.06250000000000001,DEF run m( REPEAT R=6 r( WHILE c( frontIsClear c) w( pickMarker move w) IF c( noMarkersPresent c) i( turnRight move i) r) m)
14620,0.06562500000000002,DEF run m( WHILE c( frontIsClear c) w( turnLeft putMarker move move w) m)
14633,0.07187500000000002,DEF run m( WHILE c( frontIsClear c) w( turnLeft putMarker move move w) m)
17515,0.07500000000000001,DEF run m( REPEAT R=9 r( turnRight putMarker WHILE c( frontIsClear c) w( move w) r) m)
17533,0.08437500000000003,DEF run m( REPEAT R=9 r( turnRight putMarker WHILE c( frontIsClear c) w( move w) r) m)
17568,0.09687500000000002,DEF run m( REPEAT R=9 r( turnRight putMarker WHILE c( frontIsClear c) w( move w) r) m)
17818,0.10312500000000001,DEF run m( REPEAT R=9 r( turnRight putMarker WHILE c( frontIsClear c) w( move w) r) m)
17935,0.10937500000000001,DEF run m( REPEAT R=11 r( turnRight putMarker WHILE c( frontIsClear c) w( move w) r) m)
39545,0.115625,DEF run m( WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( putMarker i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) w) m)
60350,0.13437500000000002,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=1 r( move r) turnRight move putMarker w) m)
60428,0.14375000000000004,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=1 r( move r) turnRight move putMarker w) m)
60508,0.146875,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=1 r( move r) turnRight move putMarker w) m)
60586,0.14687500000000003,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=1 r( move r) turnRight move putMarker w) m)
77927,0.15,DEF run m( IF c( frontIsClear c) i( turnRight putMarker move i) WHILE c( rightIsClear c) w( IFELSE c( frontIsClear c) i( move putMarker i) ELSE e( turnRight pickMarker e) w) m)
103704,0.203125,DEF run m( WHILE c( leftIsClear c) w( move turnRight putMarker move w) m)
260810,0.20312500000000003,DEF run m( WHILE c( leftIsClear c) w( putMarker move IF c( frontIsClear c) i( turnRight move i) w) m)
260925,0.2125,DEF run m( WHILE c( leftIsClear c) w( putMarker move IF c( frontIsClear c) i( turnRight move i) w) m)
261126,0.21562499999999998,DEF run m( WHILE c( leftIsClear c) w( putMarker move IF c( frontIsClear c) i( turnRight move i) w) m)
261175,0.22187500000000002,DEF run m( WHILE c( leftIsClear c) w( putMarker move IF c( frontIsClear c) i( turnRight move i) w) m)
