num_evaluations,best_reward,best_program
1,-0.375,DEF run m( IF c( leftIsClear c) i( WHILE c( frontIsClear c) w( IF c( leftIsClear c) i( move putMarker move turnRight i) w) i) m)
4,0.0,DEF run m( IF c( markersPresent c) i( WHILE c( frontIsClear c) w( IF c( leftIsClear c) i( move putMarker move turnRight i) w) i) m)
103,0.0625,DEF run m( WHILE c( frontIsClear c) w( pickMarker move turnRight turnRight w) pickMarker IFELSE c( rightIsClear c) i( move i) ELSE e( turnRight move move move e) WHILE c( frontIsClear c) w( turnLeft w) move m)
113,0.15625,DEF run m( WHILE c( frontIsClear c) w( pickMarker move turnRight w) pickMarker IFELSE c( rightIsClear c) i( move i) ELSE e( turnRight move move move e) WHILE c( frontIsClear c) w( turnLeft w) move m)
242,0.3125,DEF run m( WHILE c( noMarkersPresent c) w( pickMarker move turnRight w) pickMarker IFELSE c( rightIsClear c) i( move i) ELSE e( turnRight move move move e) WHILE c( frontIsClear c) w( turnLeft w) move m)
246,0.375,DEF run m( WHILE c( noMarkersPresent c) w( move move turnRight w) pickMarker IFELSE c( rightIsClear c) i( move i) ELSE e( turnRight move move move e) WHILE c( frontIsClear c) w( turnLeft w) move m)
322,0.40625,DEF run m( WHILE c( noMarkersPresent c) w( move IF c( frontIsClear c) i( turnLeft i) w) pickMarker IFELSE c( rightIsClear c) i( move i) ELSE e( turnRight move move move e) WHILE c( frontIsClear c) w( turnLeft w) move m)
1379,0.4375,DEF run m( IF c( frontIsClear c) i( turnRight i) WHILE c( leftIsClear c) w( pickMarker IFELSE c( not c( frontIsClear c) c) i( turnLeft i) ELSE e( move e) w) m)
5198,0.5,DEF run m( pickMarker WHILE c( noMarkersPresent c) w( WHILE c( noMarkersPresent c) w( move pickMarker IF c( not c( rightIsClear c) c) i( move i) IF c( frontIsClear c) i( turnLeft i) w) w) move m)
129074,0.53125,DEF run m( REPEAT R=18 r( turnRight move pickMarker IF c( frontIsClear c) i( turnLeft i) r) WHILE c( rightIsClear c) w( REPEAT R=7 r( turnLeft move move r) WHILE c( markersPresent c) w( putMarker turnLeft w) w) turnLeft m)
129110,0.84375,DEF run m( REPEAT R=18 r( turnRight move pickMarker IF c( frontIsClear c) i( turnLeft i) r) WHILE c( noMarkersPresent c) w( REPEAT R=7 r( turnLeft move move r) WHILE c( markersPresent c) w( putMarker turnLeft w) w) turnLeft m)
129161,0.90625,DEF run m( REPEAT R=18 r( turnRight move pickMarker IF c( frontIsClear c) i( turnLeft i) r) WHILE c( noMarkersPresent c) w( REPEAT R=7 r( move move REPEAT R=11 r( turnRight r) r) WHILE c( markersPresent c) w( putMarker turnLeft w) w) turnLeft m)
129204,0.9375,DEF run m( REPEAT R=16 r( turnRight move pickMarker IF c( frontIsClear c) i( turnLeft i) r) WHILE c( noMarkersPresent c) w( REPEAT R=7 r( move move REPEAT R=11 r( turnRight r) r) WHILE c( markersPresent c) w( putMarker turnLeft w) w) turnLeft m)
