num_evaluations,best_reward,best_program
1,0.0,DEF run m( pickMarker m)
2,0.03298611111111112,DEF run m( IFELSE c( rightIsClear c) i( IF c( frontIsClear c) i( putMarker move turnLeft move turnLeft turnLeft i) WHILE c( frontIsClear c) w( turnLeft move w) i) ELSE e( turnLeft move putMarker putMarker pickMarker turnRight e) putMarker m)
6,0.06770833333333333,DEF run m( IFELSE c( rightIsClear c) i( IF c( leftIsClear c) i( turnRight i) WHILE c( frontIsClear c) w( turnLeft move w) i) ELSE e( turnLeft move putMarker putMarker pickMarker turnRight e) putMarker m)
7,0.07986111111111112,DEF run m( IFELSE c( rightIsClear c) i( IF c( leftIsClear c) i( turnRight turnRight WHILE c( markersPresent c) w( turnLeft w) move putMarker i) WHILE c( frontIsClear c) w( turnLeft move w) i) ELSE e( turnLeft move putMarker putMarker pickMarker turnRight e) putMarker m)
20,0.09201388888888891,DEF run m( IFELSE c( rightIsClear c) i( IF c( leftIsClear c) i( turnRight turnRight WHILE c( markersPresent c) w( turnLeft w) move putMarker i) WHILE c( frontIsClear c) w( turnLeft move w) i) ELSE e( turnLeft move move e) putMarker m)
26,0.09375000000000001,DEF run m( IFELSE c( rightIsClear c) i( IF c( frontIsClear c) i( turnRight turnRight WHILE c( markersPresent c) w( turnLeft w) move putMarker i) WHILE c( frontIsClear c) w( turnLeft move w) i) ELSE e( turnLeft move move e) putMarker m)
42,0.11458333333333333,DEF run m( IFELSE c( frontIsClear c) i( IF c( frontIsClear c) i( turnRight turnRight WHILE c( markersPresent c) w( turnLeft w) move putMarker i) WHILE c( frontIsClear c) w( turnLeft move w) i) ELSE e( turnLeft move move e) putMarker m)
51,0.16319444444444445,DEF run m( IFELSE c( frontIsClear c) i( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move turnRight w) i) WHILE c( frontIsClear c) w( turnLeft move w) i) ELSE e( turnLeft move move e) putMarker m)
65,0.16493055555555555,DEF run m( IFELSE c( frontIsClear c) i( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move turnRight w) i) WHILE c( frontIsClear c) w( turnLeft move w) i) ELSE e( turnLeft move move e) move m)
70,0.16666666666666669,DEF run m( IFELSE c( frontIsClear c) i( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move turnRight w) i) WHILE c( frontIsClear c) w( turnLeft move w) i) ELSE e( move putMarker move putMarker turnRight move move e) move m)
80,0.18055555555555558,DEF run m( IFELSE c( frontIsClear c) i( IF c( rightIsClear c) i( WHILE c( frontIsClear c) w( move move turnRight w) i) WHILE c( frontIsClear c) w( turnLeft move w) i) ELSE e( move putMarker move putMarker turnRight move move e) move m)
87,0.18229166666666669,DEF run m( IFELSE c( frontIsClear c) i( IF c( rightIsClear c) i( WHILE c( frontIsClear c) w( move move turnRight w) i) WHILE c( frontIsClear c) w( turnLeft move w) i) ELSE e( move putMarker move move move move e) move m)
95,0.1840277777777778,DEF run m( IFELSE c( frontIsClear c) i( IF c( rightIsClear c) i( WHILE c( frontIsClear c) w( move move turnRight w) i) WHILE c( frontIsClear c) w( turnLeft move w) i) ELSE e( move turnRight move turnLeft move move move move e) move m)
102,0.435763888888889,DEF run m( REPEAT R=15 r( turnRight WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move move turnLeft move i) ELSE e( move turnRight turnLeft putMarker move turnLeft e) w) r) move m)
103,0.609375,DEF run m( REPEAT R=15 r( turnRight WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move move turnLeft putMarker pickMarker putMarker i) ELSE e( move turnRight turnLeft putMarker move turnLeft e) w) r) move m)
105,0.6302083333333334,DEF run m( REPEAT R=17 r( turnRight WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move move turnLeft putMarker pickMarker putMarker i) ELSE e( move turnRight turnLeft putMarker move turnLeft e) w) r) move m)
