num_evaluations,best_reward,best_program
1,0.008680555555555556,DEF run m( pickMarker REPEAT R=13 r( WHILE c( leftIsClear c) w( turnRight w) r) IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move turnLeft w) REPEAT R=9 r( turnRight move turnLeft move move move r) i) IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( move pickMarker e) i) ELSE e( turnRight move pickMarker IF c( markersPresent c) i( IFELSE c( noMarkersPresent c) i( move putMarker turnRight putMarker i) ELSE e( move turnLeft putMarker e) turnLeft IFELSE c( noMarkersPresent c) i( move move turnRight pickMarker pickMarker i) ELSE e( putMarker turnLeft e) i) e) IF c( noMarkersPresent c) i( move WHILE c( frontIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft move turnRight w) WHILE c( frontIsClear c) w( turnLeft w) w) i) WHILE c( noMarkersPresent c) w( putMarker WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( pickMarker putMarker turnRight move move putMarker w) turnRight move w) w) m)
6,0.027777777777777787,DEF run m( putMarker turnRight move m)
7,0.05555555555555557,DEF run m( putMarker move turnRight putMarker m)
31,0.07291666666666666,DEF run m( putMarker move turnRight move IFELSE c( frontIsClear c) i( putMarker move move turnLeft putMarker turnLeft i) ELSE e( turnLeft e) m)
36,0.0798611111111111,DEF run m( putMarker move turnRight move IFELSE c( rightIsClear c) i( putMarker move move turnLeft putMarker turnLeft i) ELSE e( turnLeft e) m)
61,0.08159722222222222,DEF run m( putMarker move turnRight move IFELSE c( rightIsClear c) i( putMarker move move turnLeft putMarker turnLeft i) ELSE e( turnRight putMarker e) m)
63,0.10069444444444446,DEF run m( putMarker move IF c( frontIsClear c) i( IF c( frontIsClear c) i( turnLeft move i) putMarker move i) move IFELSE c( rightIsClear c) i( putMarker move move turnLeft putMarker turnLeft i) ELSE e( turnRight putMarker e) m)
101,0.10937500000000003,DEF run m( putMarker turnLeft move move IF c( frontIsClear c) i( IF c( frontIsClear c) i( turnLeft move i) putMarker move i) move IFELSE c( rightIsClear c) i( putMarker move move turnLeft putMarker turnLeft i) ELSE e( turnRight putMarker e) m)
105,0.11111111111111115,DEF run m( putMarker turnLeft move move IF c( frontIsClear c) i( IF c( frontIsClear c) i( turnRight move move i) putMarker move i) move IFELSE c( rightIsClear c) i( putMarker move move turnLeft putMarker turnLeft i) ELSE e( turnRight putMarker e) m)
157,0.13888888888888887,DEF run m( putMarker turnLeft move move IF c( frontIsClear c) i( IF c( frontIsClear c) i( putMarker move move i) putMarker move i) move IFELSE c( rightIsClear c) i( putMarker move move turnLeft putMarker turnLeft i) ELSE e( turnRight putMarker e) m)
1367,0.14756944444444445,DEF run m( IFELSE c( frontIsClear c) i( WHILE c( not c( leftIsClear c) c) w( move w) i) ELSE e( move e) putMarker turnLeft WHILE c( frontIsClear c) w( move putMarker turnRight turnLeft turnRight turnLeft w) m)
1504,0.1545138888888889,DEF run m( IFELSE c( frontIsClear c) i( WHILE c( not c( leftIsClear c) c) w( turnLeft putMarker move turnRight move w) i) ELSE e( move e) putMarker turnLeft WHILE c( frontIsClear c) w( move putMarker turnRight turnLeft turnRight turnLeft w) m)
1512,0.16493055555555558,DEF run m( IFELSE c( frontIsClear c) i( WHILE c( frontIsClear c) w( turnLeft putMarker move turnRight move w) i) ELSE e( move e) putMarker turnLeft WHILE c( frontIsClear c) w( move putMarker turnRight turnLeft turnRight turnLeft w) m)
