num_evaluations,best_reward,best_program
1,0.00625,DEF run m( turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
6,0.009375000000000001,DEF run m( turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
38,0.043750000000000004,DEF run m( turnRight IF c( frontIsClear c) i( turnRight putMarker i) REPEAT R=17 r( turnLeft WHILE c( frontIsClear c) w( move putMarker move turnRight w) r) WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( turnRight turnRight move w) w) m)
40,0.065625,DEF run m( turnRight IF c( leftIsClear c) i( turnRight putMarker i) REPEAT R=17 r( turnLeft WHILE c( frontIsClear c) w( move putMarker move turnRight w) r) WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( turnRight turnRight move w) w) m)
81,0.06562500000000002,DEF run m( turnRight IF c( leftIsClear c) i( turnRight putMarker i) REPEAT R=17 r( turnLeft WHILE c( frontIsClear c) w( move putMarker move turnRight w) r) WHILE c( frontIsClear c) w( move w) m)
219,0.08125000000000002,DEF run m( turnRight IF c( leftIsClear c) i( turnRight putMarker i) REPEAT R=17 r( turnLeft WHILE c( frontIsClear c) w( move putMarker putMarker w) r) WHILE c( frontIsClear c) w( move w) m)
237,0.09687500000000002,DEF run m( turnRight IF c( leftIsClear c) i( turnRight putMarker i) REPEAT R=17 r( turnLeft WHILE c( frontIsClear c) w( move putMarker putMarker w) r) turnRight m)
372,0.109375,DEF run m( turnRight IF c( leftIsClear c) i( turnRight putMarker i) REPEAT R=17 r( turnLeft WHILE c( frontIsClear c) w( move putMarker putMarker w) r) REPEAT R=1 r( turnRight r) m)
420,0.10937500000000001,DEF run m( turnRight IF c( leftIsClear c) i( turnRight putMarker i) REPEAT R=17 r( turnLeft WHILE c( frontIsClear c) w( move putMarker putMarker w) r) move m)
533,0.115625,DEF run m( turnRight IF c( noMarkersPresent c) i( turnRight putMarker i) REPEAT R=17 r( turnLeft WHILE c( frontIsClear c) w( move putMarker putMarker w) r) move m)
2792,0.125,DEF run m( REPEAT R=17 r( move putMarker turnRight move WHILE c( noMarkersPresent c) w( turnRight move putMarker w) WHILE c( frontIsClear c) w( putMarker move w) r) WHILE c( frontIsClear c) w( move turnRight putMarker w) putMarker turnLeft turnRight m)
2794,0.140625,DEF run m( REPEAT R=17 r( move putMarker turnRight move WHILE c( noMarkersPresent c) w( turnRight move putMarker w) WHILE c( frontIsClear c) w( putMarker move w) r) WHILE c( frontIsClear c) w( move turnRight putMarker w) putMarker turnRight turnRight m)
