num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( frontIsClear c) i( WHILE c( leftIsClear c) w( REPEAT R=15 r( move r) w) IF c( rightIsClear c) i( REPEAT R=5 r( move move turnLeft move r) turnLeft IF c( markersPresent c) i( pickMarker turnLeft turnRight pickMarker turnLeft turnRight i) i) IFELSE c( frontIsClear c) i( WHILE c( leftIsClear c) w( move turnRight move move w) i) ELSE e( IF c( rightIsClear c) i( move move move turnLeft i) e) move move turnLeft i) m)
32,0.022727272727272728,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( pickMarker turnLeft move e) IF c( frontIsClear c) i( move move pickMarker i) m)
44,0.10227272727272727,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( pickMarker turnLeft move e) IF c( frontIsClear c) i( move turnRight pickMarker i) m)
89,0.15340909090909088,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( pickMarker turnLeft move e) IF c( frontIsClear c) i( REPEAT R=10 r( REPEAT R=1 r( move pickMarker r) r) turnRight pickMarker i) m)
296,0.21590909090909083,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( pickMarker turnLeft move e) WHILE c( rightIsClear c) w( IF c( leftIsClear c) i( turnLeft i) REPEAT R=17 r( move pickMarker move r) w) m)
371,0.24431818181818182,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( pickMarker turnLeft move e) WHILE c( rightIsClear c) w( IF c( leftIsClear c) i( turnLeft i) REPEAT R=17 r( IF c( leftIsClear c) i( move turnRight i) pickMarker move r) w) m)
382,0.28409090909090906,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( pickMarker turnLeft move e) WHILE c( rightIsClear c) w( IF c( leftIsClear c) i( turnLeft i) REPEAT R=17 r( IF c( noMarkersPresent c) i( move turnRight i) pickMarker move r) w) m)
393,0.2840909090909091,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( pickMarker turnLeft move e) WHILE c( frontIsClear c) w( IF c( leftIsClear c) i( turnLeft i) REPEAT R=17 r( IF c( noMarkersPresent c) i( move turnRight i) pickMarker move r) w) m)
426,0.32386363636363635,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( pickMarker turnLeft move e) WHILE c( frontIsClear c) w( IF c( leftIsClear c) i( move i) REPEAT R=17 r( IF c( noMarkersPresent c) i( move turnRight i) pickMarker move r) w) m)
437,0.34659090909090906,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( pickMarker turnLeft move e) WHILE c( frontIsClear c) w( IF c( markersPresent c) i( move i) REPEAT R=17 r( IF c( noMarkersPresent c) i( move turnRight i) pickMarker move r) w) m)
446,0.39204545454545464,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( pickMarker turnLeft move e) WHILE c( frontIsClear c) w( IF c( markersPresent c) i( move i) REPEAT R=19 r( IF c( noMarkersPresent c) i( move turnRight i) pickMarker move r) w) m)
453,0.39772727272727276,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( turnRight e) WHILE c( frontIsClear c) w( IF c( markersPresent c) i( move i) REPEAT R=19 r( IF c( noMarkersPresent c) i( move turnRight i) pickMarker move r) w) m)
469,0.6022727272727273,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( turnRight e) WHILE c( frontIsClear c) w( IF c( markersPresent c) i( move i) REPEAT R=19 r( IF c( noMarkersPresent c) i( pickMarker turnRight i) pickMarker move r) w) m)
482,0.6022727272727274,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( turnRight e) WHILE c( frontIsClear c) w( IF c( markersPresent c) i( move i) REPEAT R=19 r( IF c( rightIsClear c) i( pickMarker turnRight i) pickMarker move r) w) m)
537,0.9090909090909093,DEF run m( turnLeft IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( turnRight e) WHILE c( frontIsClear c) w( IF c( markersPresent c) i( move i) REPEAT R=19 r( IF c( rightIsClear c) i( pickMarker turnRight i) pickMarker move r) w) m)
829,1.0000000000000002,DEF run m( WHILE c( noMarkersPresent c) w( move pickMarker turnLeft w) IF c( frontIsClear c) i( move i) turnLeft IF c( rightIsClear c) i( move putMarker turnRight move i) move m)
