num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( frontIsClear c) i( WHILE c( leftIsClear c) w( REPEAT R=15 r( move r) w) IF c( rightIsClear c) i( REPEAT R=5 r( move move turnLeft move r) turnLeft IF c( markersPresent c) i( pickMarker turnLeft turnRight pickMarker turnLeft turnRight i) i) IFELSE c( frontIsClear c) i( WHILE c( leftIsClear c) w( move turnRight move move w) i) ELSE e( IF c( rightIsClear c) i( move move move turnLeft i) e) move move turnLeft i) m)
32,0.0625,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( pickMarker turnLeft move e) IF c( frontIsClear c) i( move move pickMarker i) m)
36,0.09375,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( pickMarker move move IF c( not c( markersPresent c) c) i( turnRight i) e) IF c( frontIsClear c) i( move move pickMarker i) m)
110,0.125,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( pickMarker move move IF c( not c( markersPresent c) c) i( turnRight i) e) WHILE c( frontIsClear c) w( pickMarker w) WHILE c( rightIsClear c) w( pickMarker move turnRight turnLeft w) m)
139,0.1875,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( pickMarker move move IF c( not c( markersPresent c) c) i( turnRight i) e) move WHILE c( rightIsClear c) w( pickMarker move turnRight turnLeft w) m)
169,0.21875,DEF run m( move IFELSE c( leftIsClear c) i( pickMarker i) ELSE e( pickMarker move move IF c( not c( markersPresent c) c) i( turnRight i) e) move WHILE c( rightIsClear c) w( pickMarker move pickMarker turnLeft w) m)
588,0.25,DEF run m( WHILE c( rightIsClear c) w( move turnLeft pickMarker move w) WHILE c( markersPresent c) w( turnLeft pickMarker w) m)
1030,0.3125,DEF run m( turnLeft turnRight REPEAT R=12 r( turnRight IF c( frontIsClear c) i( IFELSE c( noMarkersPresent c) i( move pickMarker move i) ELSE e( move e) i) r) m)
1051,0.34375,DEF run m( turnLeft turnRight REPEAT R=12 r( WHILE c( frontIsClear c) w( move pickMarker w) WHILE c( rightIsClear c) w( turnLeft w) IFELSE c( markersPresent c) i( turnLeft move move move i) ELSE e( move e) r) m)
1143,0.4375,DEF run m( turnLeft move REPEAT R=12 r( WHILE c( frontIsClear c) w( move pickMarker w) WHILE c( rightIsClear c) w( turnLeft w) IFELSE c( markersPresent c) i( turnLeft move move move i) ELSE e( move e) r) m)
1673,0.5,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( noMarkersPresent c) w( move turnRight REPEAT R=8 r( move pickMarker pickMarker r) turnRight w) w) m)
411317,0.5625,DEF run m( REPEAT R=12 r( turnLeft pickMarker move move r) WHILE c( leftIsClear c) w( WHILE c( noMarkersPresent c) w( turnRight pickMarker pickMarker move w) putMarker move w) move move m)
797208,0.65625,DEF run m( WHILE c( noMarkersPresent c) w( pickMarker move move turnLeft w) pickMarker WHILE c( noMarkersPresent c) w( move turnRight w) putMarker WHILE c( rightIsClear c) w( move move turnLeft putMarker w) m)
797249,0.6875,DEF run m( WHILE c( noMarkersPresent c) w( pickMarker move IF c( rightIsClear c) i( move i) turnLeft w) pickMarker WHILE c( noMarkersPresent c) w( move turnRight w) putMarker WHILE c( rightIsClear c) w( move move turnLeft putMarker w) m)
797269,0.71875,DEF run m( WHILE c( noMarkersPresent c) w( pickMarker move IF c( noMarkersPresent c) i( move i) turnLeft w) pickMarker WHILE c( noMarkersPresent c) w( move turnRight w) putMarker WHILE c( rightIsClear c) w( move move turnLeft putMarker w) m)
1300427,0.75,DEF run m( WHILE c( frontIsClear c) w( move w) turnRight WHILE c( noMarkersPresent c) w( turnLeft move w) pickMarker WHILE c( noMarkersPresent c) w( turnLeft REPEAT R=7 r( pickMarker r) IF c( noMarkersPresent c) i( move move i) w) putMarker m)
