num_evaluations,best_reward,best_program
1,0.027777777777777787,DEF run m( IF c( frontIsClear c) i( WHILE c( leftIsClear c) w( REPEAT R=15 r( move r) w) IF c( rightIsClear c) i( REPEAT R=5 r( move move turnLeft move r) turnLeft IF c( markersPresent c) i( pickMarker turnLeft turnRight pickMarker turnLeft turnRight i) i) IFELSE c( frontIsClear c) i( WHILE c( leftIsClear c) w( move turnRight move move w) i) ELSE e( IF c( rightIsClear c) i( move move move turnLeft i) e) move move turnLeft i) m)
23,0.05208333333333335,DEF run m( IF c( not c( frontIsClear c) c) i( move move pickMarker move i) WHILE c( not c( rightIsClear c) c) w( move move pickMarker w) m)
24,0.10243055555555557,DEF run m( IF c( not c( frontIsClear c) c) i( move move pickMarker move i) WHILE c( frontIsClear c) w( move move pickMarker w) m)
44,0.11458333333333333,DEF run m( IF c( not c( rightIsClear c) c) i( move move pickMarker move i) WHILE c( frontIsClear c) w( move move pickMarker w) m)
60,0.16666666666666666,DEF run m( turnLeft WHILE c( frontIsClear c) w( move move pickMarker w) m)
200,0.1961805555555556,DEF run m( turnLeft WHILE c( frontIsClear c) w( REPEAT R=1 r( move turnRight move r) move pickMarker w) m)
233,0.2065972222222223,DEF run m( turnLeft WHILE c( frontIsClear c) w( REPEAT R=1 r( move turnLeft move r) move pickMarker w) m)
265,0.21006944444444448,DEF run m( turnLeft WHILE c( frontIsClear c) w( REPEAT R=1 r( pickMarker turnLeft move r) move pickMarker w) m)
267,0.4114583333333334,DEF run m( turnLeft WHILE c( frontIsClear c) w( REPEAT R=5 r( pickMarker turnLeft move r) move pickMarker w) m)
275,0.5069444444444445,DEF run m( turnLeft WHILE c( frontIsClear c) w( REPEAT R=6 r( pickMarker turnLeft move r) move pickMarker w) m)
290,0.5763888888888892,DEF run m( turnLeft WHILE c( frontIsClear c) w( REPEAT R=6 r( pickMarker turnRight move r) move pickMarker w) m)
306,0.5850694444444446,DEF run m( turnLeft WHILE c( frontIsClear c) w( REPEAT R=6 r( pickMarker IF c( frontIsClear c) i( turnLeft i) move r) move pickMarker w) m)
330,0.8784722222222224,DEF run m( turnLeft WHILE c( frontIsClear c) w( REPEAT R=6 r( pickMarker IF c( frontIsClear c) i( turnRight move i) move r) move pickMarker w) m)
341,0.899305555555556,DEF run m( turnLeft WHILE c( frontIsClear c) w( REPEAT R=6 r( pickMarker IF c( frontIsClear c) i( turnRight move i) move r) move move w) m)
368,0.9062500000000004,DEF run m( turnLeft WHILE c( frontIsClear c) w( REPEAT R=6 r( pickMarker IF c( frontIsClear c) i( turnLeft move i) move r) move move w) m)
396,0.9270833333333334,DEF run m( turnLeft WHILE c( frontIsClear c) w( REPEAT R=18 r( pickMarker IF c( frontIsClear c) i( turnLeft move i) move r) move move w) m)
422,0.9826388888888891,DEF run m( turnLeft WHILE c( frontIsClear c) w( REPEAT R=18 r( pickMarker IF c( frontIsClear c) i( turnLeft move i) turnLeft REPEAT R=8 r( move move pickMarker turnLeft r) r) move move w) m)
423,1.0000000000000002,DEF run m( turnLeft WHILE c( frontIsClear c) w( REPEAT R=18 r( pickMarker IF c( frontIsClear c) i( turnLeft move i) turnLeft REPEAT R=8 r( move move pickMarker turnLeft r) r) move REPEAT R=3 r( move r) w) m)
