num_evaluations,best_reward,best_program
1,0.07118055555555555,DEF run m( WHILE c( frontIsClear c) w( move w) m)
4,0.13368055555555555,DEF run m( IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( move turnRight pickMarker move w) move WHILE c( frontIsClear c) w( pickMarker turnLeft w) move i) m)
6,0.16666666666666669,DEF run m( IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( move turnRight pickMarker move w) move WHILE c( frontIsClear c) w( pickMarker move w) move i) m)
7,0.1927083333333334,DEF run m( IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( move turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( move e) move w) move WHILE c( frontIsClear c) w( pickMarker move w) move i) m)
26,0.2065972222222223,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( move e) move w) move WHILE c( frontIsClear c) w( pickMarker move w) move i) m)
41,0.24826388888888892,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( move e) move w) turnLeft WHILE c( frontIsClear c) w( pickMarker move w) move i) m)
46,0.24826388888888895,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( move e) move w) turnLeft move move i) m)
51,0.4461805555555557,DEF run m( IF c( frontIsClear c) i( WHILE c( noMarkersPresent c) w( move turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( move e) move w) turnLeft move move i) m)
130,0.5399305555555557,DEF run m( IF c( frontIsClear c) i( WHILE c( noMarkersPresent c) w( move turnRight WHILE c( rightIsClear c) w( move w) move w) turnLeft move move i) m)
143,0.637152777777778,DEF run m( IF c( frontIsClear c) i( WHILE c( noMarkersPresent c) w( pickMarker REPEAT R=16 r( move turnRight r) turnLeft pickMarker move w) turnLeft move move i) m)
146,0.684027777777778,DEF run m( IF c( frontIsClear c) i( WHILE c( noMarkersPresent c) w( pickMarker putMarker turnLeft pickMarker move w) turnLeft move move i) m)
213,0.744791666666667,DEF run m( IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( pickMarker putMarker turnLeft pickMarker move w) turnLeft move move i) m)
252,0.7847222222222224,DEF run m( IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( pickMarker putMarker turnRight pickMarker move w) turnLeft move move i) m)
536,0.7899305555555559,DEF run m( WHILE c( frontIsClear c) w( move WHILE c( not c( frontIsClear c) c) w( turnLeft REPEAT R=1 r( move putMarker putMarker move r) w) w) m)
541,0.8315972222222227,DEF run m( WHILE c( frontIsClear c) w( move WHILE c( not c( frontIsClear c) c) w( turnLeft REPEAT R=1 r( move putMarker putMarker turnRight r) w) w) m)
581,0.8402777777777781,DEF run m( WHILE c( frontIsClear c) w( move WHILE c( not c( frontIsClear c) c) w( turnLeft REPEAT R=4 r( move putMarker putMarker turnRight r) w) w) m)
868,0.8437500000000004,DEF run m( IF c( noMarkersPresent c) i( IF c( markersPresent c) i( move putMarker turnRight i) pickMarker WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( turnRight turnLeft move turnRight w) i) m)
897,0.8923611111111115,DEF run m( IF c( noMarkersPresent c) i( IF c( markersPresent c) i( move putMarker turnRight i) pickMarker WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnLeft move turnRight w) i) m)
4406,0.9097222222222227,DEF run m( turnLeft IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( turnRight move move w) move i) move WHILE c( noMarkersPresent c) w( turnRight move WHILE c( markersPresent c) w( move w) turnRight move w) m)
9139,0.9184027777777782,DEF run m( WHILE c( frontIsClear c) w( move move move w) move IF c( rightIsClear c) i( WHILE c( markersPresent c) w( turnLeft w) i) REPEAT R=15 r( turnRight move move WHILE c( frontIsClear c) w( putMarker turnRight move w) move r) m)
14832,0.9201388888888894,DEF run m( WHILE c( frontIsClear c) w( move REPEAT R=15 r( move putMarker move pickMarker r) w) WHILE c( not c( frontIsClear c) c) w( turnLeft move putMarker WHILE c( frontIsClear c) w( turnRight w) WHILE c( frontIsClear c) w( move w) w) m)
14930,0.9340277777777781,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( turnLeft move w) move i) WHILE c( not c( frontIsClear c) c) w( turnLeft move putMarker WHILE c( frontIsClear c) w( turnRight w) WHILE c( frontIsClear c) w( move w) w) m)
365500,0.9496527777777782,DEF run m( WHILE c( noMarkersPresent c) w( putMarker WHILE c( frontIsClear c) w( turnLeft move w) IF c( rightIsClear c) i( turnRight move move WHILE c( frontIsClear c) w( move turnRight w) WHILE c( frontIsClear c) w( putMarker w) i) turnLeft move w) m)
