num_evaluations,best_reward,best_program
1,0.0,DEF run m( IFELSE c( frontIsClear c) i( turnRight i) ELSE e( REPEAT R=6 r( move r) e) m)
17,0.027777777777777787,DEF run m( IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( move move move putMarker i) IF c( rightIsClear c) i( turnRight move move i) i) ELSE e( REPEAT R=6 r( move r) e) m)
85,0.05555555555555557,DEF run m( IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( putMarker move move putMarker i) IF c( rightIsClear c) i( turnRight move move i) i) ELSE e( REPEAT R=6 r( move r) e) m)
115,0.07118055555555557,DEF run m( IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( putMarker move move putMarker i) IF c( rightIsClear c) i( turnRight move IF c( frontIsClear c) i( turnLeft move putMarker i) i) i) ELSE e( REPEAT R=6 r( move r) e) m)
151,0.07291666666666669,DEF run m( IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( putMarker move move putMarker i) IF c( rightIsClear c) i( turnRight move putMarker i) i) ELSE e( REPEAT R=6 r( move r) e) m)
369,0.07465277777777779,DEF run m( IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( putMarker move turnLeft putMarker i) IF c( rightIsClear c) i( turnRight move putMarker i) i) ELSE e( REPEAT R=6 r( move r) e) m)
690,0.10416666666666667,DEF run m( move turnLeft IF c( rightIsClear c) i( putMarker turnRight move turnLeft i) WHILE c( frontIsClear c) w( move putMarker w) turnRight m)
790,0.11631944444444445,DEF run m( move turnLeft IF c( rightIsClear c) i( putMarker move i) WHILE c( frontIsClear c) w( move putMarker w) turnRight m)
795,0.12673611111111113,DEF run m( move turnLeft IF c( not c( frontIsClear c) c) i( putMarker move i) WHILE c( frontIsClear c) w( move putMarker w) turnRight m)
864,0.13541666666666669,DEF run m( move WHILE c( frontIsClear c) w( REPEAT R=7 r( turnRight r) w) IF c( not c( frontIsClear c) c) i( putMarker move i) WHILE c( frontIsClear c) w( move putMarker w) turnRight m)
943,0.16666666666666666,DEF run m( move WHILE c( frontIsClear c) w( REPEAT R=7 r( move r) w) IF c( not c( frontIsClear c) c) i( putMarker move i) WHILE c( frontIsClear c) w( move putMarker w) turnRight m)
2758,0.17881944444444448,DEF run m( WHILE c( rightIsClear c) w( IF c( frontIsClear c) i( turnRight i) IF c( markersPresent c) i( turnRight turnLeft turnLeft move i) turnLeft IF c( noMarkersPresent c) i( putMarker turnLeft move move i) w) m)
2793,0.1961805555555556,DEF run m( WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( turnRight i) IF c( markersPresent c) i( turnRight turnLeft turnLeft move i) turnLeft IF c( noMarkersPresent c) i( putMarker turnLeft move move i) w) m)
2804,0.20486111111111116,DEF run m( WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( turnRight i) IF c( markersPresent c) i( turnRight turnLeft move i) turnLeft IF c( noMarkersPresent c) i( putMarker turnLeft move move i) w) m)
2835,0.4340277777777779,DEF run m( WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( turnRight i) IF c( markersPresent c) i( turnRight turnLeft move i) turnLeft IF c( noMarkersPresent c) i( putMarker turnLeft turnRight move i) w) m)
2839,0.4548611111111111,DEF run m( WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight i) IF c( markersPresent c) i( turnRight turnLeft move i) turnLeft IF c( noMarkersPresent c) i( putMarker turnLeft turnRight move i) w) m)
2874,0.576388888888889,DEF run m( WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight i) IF c( frontIsClear c) i( turnRight turnLeft move i) turnLeft IF c( noMarkersPresent c) i( putMarker turnLeft turnRight move i) w) m)
9000,0.6076388888888891,DEF run m( REPEAT R=19 r( IF c( noMarkersPresent c) i( turnRight putMarker move i) IFELSE c( markersPresent c) i( move i) ELSE e( move putMarker e) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft move turnRight e) move r) m)
9126,0.7204861111111114,DEF run m( REPEAT R=19 r( IF c( noMarkersPresent c) i( turnRight putMarker move i) IFELSE c( markersPresent c) i( move i) ELSE e( turnLeft putMarker e) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft move turnRight e) move r) m)
14011,0.8732638888888892,DEF run m( WHILE c( noMarkersPresent c) w( putMarker IF c( markersPresent c) i( move turnLeft turnRight move i) turnLeft REPEAT R=2 r( move r) move WHILE c( markersPresent c) w( move move w) w) WHILE c( noMarkersPresent c) w( turnLeft w) move move m)
14032,0.9062500000000002,DEF run m( WHILE c( noMarkersPresent c) w( putMarker IF c( markersPresent c) i( move turnLeft turnRight move i) turnLeft move move WHILE c( markersPresent c) w( move move w) w) WHILE c( noMarkersPresent c) w( turnLeft w) move move m)
20397,0.9305555555555557,DEF run m( WHILE c( frontIsClear c) w( putMarker WHILE c( markersPresent c) w( WHILE c( markersPresent c) w( turnLeft turnRight move turnRight w) IF c( rightIsClear c) i( turnRight turnLeft turnLeft putMarker i) turnLeft w) w) putMarker m)
47984,0.9618055555555556,DEF run m( turnLeft turnRight WHILE c( noMarkersPresent c) w( putMarker turnLeft WHILE c( frontIsClear c) w( move w) REPEAT R=10 r( WHILE c( not c( noMarkersPresent c) c) w( move move w) r) w) turnLeft m)
48040,0.9930555555555557,DEF run m( turnLeft move WHILE c( noMarkersPresent c) w( putMarker turnLeft WHILE c( frontIsClear c) w( move w) REPEAT R=10 r( WHILE c( not c( noMarkersPresent c) c) w( move move w) r) w) turnLeft m)
67341,1.0000000000000002,DEF run m( WHILE c( rightIsClear c) w( turnLeft WHILE c( frontIsClear c) w( move w) w) WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( noMarkersPresent c) w( putMarker turnLeft WHILE c( markersPresent c) w( move w) w) m)
