num_evaluations,best_reward,best_program
1,0.0,DEF run m( putMarker move m)
4,0.003125,DEF run m( turnRight move m)
56,0.00625,DEF run m( WHILE c( rightIsClear c) w( IFELSE c( frontIsClear c) i( move move pickMarker turnRight i) ELSE e( turnRight e) w) move m)
74,0.009375000000000001,DEF run m( WHILE c( rightIsClear c) w( IFELSE c( frontIsClear c) i( move move pickMarker turnRight i) ELSE e( move e) w) move m)
107,0.0125,DEF run m( WHILE c( rightIsClear c) w( IFELSE c( frontIsClear c) i( move move pickMarker turnRight i) ELSE e( move e) w) move m)
162,0.021875,DEF run m( WHILE c( rightIsClear c) w( WHILE c( not c( leftIsClear c) c) w( move turnRight move move w) IFELSE c( frontIsClear c) i( move move turnLeft i) ELSE e( move move e) w) move m)
195,0.028124999999999997,DEF run m( REPEAT R=16 r( move move turnLeft putMarker r) WHILE c( frontIsClear c) w( move w) m)
216,0.05625,DEF run m( REPEAT R=16 r( turnLeft WHILE c( frontIsClear c) w( putMarker move w) r) WHILE c( frontIsClear c) w( move w) m)
217,0.084375,DEF run m( REPEAT R=16 r( turnLeft WHILE c( frontIsClear c) w( putMarker move w) r) WHILE c( frontIsClear c) w( move w) m)
242,0.09375000000000003,DEF run m( REPEAT R=16 r( turnLeft WHILE c( frontIsClear c) w( putMarker move w) r) WHILE c( not c( frontIsClear c) c) w( move w) m)
339,0.109375,DEF run m( REPEAT R=16 r( turnLeft WHILE c( frontIsClear c) w( putMarker move w) r) WHILE c( frontIsClear c) w( move w) m)
520,0.115625,DEF run m( REPEAT R=16 r( turnLeft WHILE c( frontIsClear c) w( putMarker move w) r) WHILE c( frontIsClear c) w( move w) m)
1325,0.12187500000000004,DEF run m( IFELSE c( frontIsClear c) i( move WHILE c( frontIsClear c) w( turnRight move putMarker move w) i) ELSE e( IFELSE c( rightIsClear c) i( putMarker REPEAT R=16 r( move move r) i) ELSE e( pickMarker move move e) e) m)
1343,0.13437500000000002,DEF run m( IFELSE c( frontIsClear c) i( move WHILE c( frontIsClear c) w( turnRight move putMarker move w) i) ELSE e( IFELSE c( rightIsClear c) i( move REPEAT R=16 r( move move r) i) ELSE e( pickMarker move move e) e) m)
5855,0.153125,DEF run m( WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( rightIsClear c) w( putMarker turnLeft move move w) m)
6022,0.234375,DEF run m( WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( rightIsClear c) w( putMarker turnLeft move move w) m)
8037,0.25625,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) REPEAT R=17 r( move turnLeft move r) w) w) m)
8143,0.3281249999999999,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move pickMarker w) REPEAT R=17 r( move turnLeft move r) w) w) m)
142665,0.37812500000000004,DEF run m( REPEAT R=12 r( REPEAT R=17 r( turnRight move turnRight IF c( rightIsClear c) i( move move i) move r) r) m)
142673,0.384375,DEF run m( REPEAT R=12 r( REPEAT R=17 r( turnRight move turnRight IF c( rightIsClear c) i( move move i) move r) r) m)
142674,0.3875,DEF run m( REPEAT R=12 r( REPEAT R=19 r( turnRight move turnRight IF c( rightIsClear c) i( move move i) move r) r) m)
142725,0.390625,DEF run m( REPEAT R=12 r( REPEAT R=19 r( turnRight move turnRight IF c( rightIsClear c) i( move pickMarker move i) move r) r) m)
142746,0.39062500000000006,DEF run m( REPEAT R=12 r( REPEAT R=19 r( turnRight move turnRight IF c( rightIsClear c) i( move pickMarker move i) move r) r) m)
142795,0.3906250000000001,DEF run m( REPEAT R=12 r( REPEAT R=17 r( turnRight move turnRight IF c( rightIsClear c) i( move pickMarker move i) move r) r) m)
142995,0.3937500000000001,DEF run m( REPEAT R=12 r( REPEAT R=17 r( turnRight move turnRight IF c( rightIsClear c) i( move pickMarker move i) move r) r) m)
205109,0.559375,DEF run m( REPEAT R=15 r( WHILE c( leftIsClear c) w( move IF c( frontIsClear c) i( turnRight move move putMarker move i) turnRight w) IFELSE c( rightIsClear c) i( turnLeft i) ELSE e( move e) IF c( rightIsClear c) i( turnLeft i) r) m)
205181,0.5874999999999999,DEF run m( REPEAT R=15 r( WHILE c( leftIsClear c) w( move IF c( frontIsClear c) i( turnRight move move putMarker move i) turnRight w) IFELSE c( rightIsClear c) i( turnLeft i) ELSE e( move e) IF c( rightIsClear c) i( turnLeft i) r) m)
205386,0.6750000000000002,DEF run m( REPEAT R=19 r( WHILE c( leftIsClear c) w( move IF c( frontIsClear c) i( turnRight move move putMarker move i) turnRight w) IFELSE c( rightIsClear c) i( turnLeft i) ELSE e( move e) IF c( rightIsClear c) i( turnLeft i) r) m)
205407,0.7156250000000002,DEF run m( REPEAT R=19 r( WHILE c( leftIsClear c) w( move IF c( frontIsClear c) i( turnRight move move putMarker move i) turnRight w) IFELSE c( rightIsClear c) i( turnLeft i) ELSE e( move e) IF c( rightIsClear c) i( turnLeft i) r) m)
205528,0.7250000000000001,DEF run m( REPEAT R=19 r( WHILE c( leftIsClear c) w( move IF c( frontIsClear c) i( turnRight move move putMarker move i) turnRight w) IFELSE c( rightIsClear c) i( turnLeft i) ELSE e( move e) IF c( rightIsClear c) i( turnLeft i) r) m)
205598,0.7312500000000001,DEF run m( REPEAT R=19 r( WHILE c( leftIsClear c) w( move IF c( frontIsClear c) i( turnRight move move putMarker move i) turnRight w) IFELSE c( rightIsClear c) i( turnLeft i) ELSE e( move e) IF c( rightIsClear c) i( turnLeft i) r) m)
205635,0.7312500000000003,DEF run m( REPEAT R=19 r( WHILE c( leftIsClear c) w( move IF c( frontIsClear c) i( turnRight move move putMarker move i) turnRight w) IFELSE c( rightIsClear c) i( turnLeft i) ELSE e( move e) IF c( rightIsClear c) i( turnLeft i) r) m)
