num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( frontIsClear c) w( move w) m)
4,0.011363636363636364,DEF run m( IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( move turnRight pickMarker move w) move WHILE c( frontIsClear c) w( pickMarker turnLeft w) move i) m)
56,0.022727272727272728,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight pickMarker move w) move WHILE c( frontIsClear c) w( pickMarker turnLeft w) move i) m)
96,0.10227272727272727,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight pickMarker w) move WHILE c( frontIsClear c) w( pickMarker turnLeft w) move i) m)
100,0.1193181818181818,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight pickMarker w) move IF c( frontIsClear c) i( REPEAT R=4 r( turnRight move move r) WHILE c( markersPresent c) w( pickMarker move turnLeft turnLeft w) i) i) m)
105,0.12499999999999997,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight pickMarker w) move IF c( frontIsClear c) i( REPEAT R=4 r( turnRight move move r) WHILE c( markersPresent c) w( pickMarker move move turnLeft w) i) i) m)
142,0.13636363636363635,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight pickMarker w) move IF c( frontIsClear c) i( REPEAT R=4 r( turnRight move move r) WHILE c( frontIsClear c) w( pickMarker move move turnLeft w) i) i) m)
146,0.14204545454545453,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight pickMarker w) move IF c( frontIsClear c) i( REPEAT R=1 r( turnRight move move r) WHILE c( frontIsClear c) w( pickMarker move move turnLeft w) i) i) m)
158,0.1477272727272727,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight pickMarker w) move REPEAT R=15 r( pickMarker REPEAT R=6 r( pickMarker pickMarker move move r) r) i) m)
163,0.15340909090909088,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight move WHILE c( frontIsClear c) w( move move move move w) w) move REPEAT R=15 r( pickMarker REPEAT R=6 r( pickMarker pickMarker move move r) r) i) m)
194,0.32954545454545453,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight move WHILE c( frontIsClear c) w( move move move move w) w) move REPEAT R=15 r( pickMarker REPEAT R=6 r( pickMarker pickMarker turnLeft move r) r) i) m)
196,0.3352272727272727,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move move WHILE c( frontIsClear c) w( move move move move w) w) move REPEAT R=15 r( pickMarker REPEAT R=6 r( pickMarker pickMarker turnLeft move r) r) i) m)
233,0.7329545454545454,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move move WHILE c( frontIsClear c) w( move move move move w) w) move REPEAT R=15 r( pickMarker REPEAT R=15 r( pickMarker pickMarker turnLeft move r) r) i) m)
234,0.7954545454545455,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( IFELSE c( leftIsClear c) i( turnLeft move move i) ELSE e( move e) move w) move REPEAT R=15 r( pickMarker REPEAT R=15 r( pickMarker pickMarker turnLeft move r) r) i) m)
327,0.7954545454545456,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( IFELSE c( rightIsClear c) i( turnLeft move move i) ELSE e( move e) move w) move REPEAT R=15 r( pickMarker REPEAT R=15 r( pickMarker pickMarker turnLeft move r) r) i) m)
346,0.9147727272727277,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( IFELSE c( rightIsClear c) i( turnLeft move move i) ELSE e( move e) move w) move REPEAT R=15 r( pickMarker REPEAT R=18 r( pickMarker pickMarker turnLeft move r) r) i) m)
352,1.0000000000000002,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( IFELSE c( rightIsClear c) i( turnLeft move move i) ELSE e( move e) move w) move REPEAT R=19 r( pickMarker REPEAT R=18 r( pickMarker pickMarker turnLeft move r) r) i) m)
