num_evaluations,best_reward,best_program
1,-0.6875,DEF run m( WHILE c( frontIsClear c) w( IF c( rightIsClear c) i( putMarker i) w) IF c( leftIsClear c) i( move IF c( frontIsClear c) i( move WHILE c( markersPresent c) w( turnRight turnLeft w) IF c( rightIsClear c) i( turnLeft i) turnRight i) i) m)
10,0.0625,DEF run m( WHILE c( frontIsClear c) w( pickMarker move w) IF c( leftIsClear c) i( move IF c( frontIsClear c) i( move WHILE c( markersPresent c) w( turnRight turnLeft w) IF c( rightIsClear c) i( turnLeft i) turnRight i) i) m)
188,0.125,DEF run m( WHILE c( frontIsClear c) w( pickMarker WHILE c( frontIsClear c) w( move pickMarker w) WHILE c( frontIsClear c) w( move w) IFELSE c( rightIsClear c) i( turnLeft pickMarker i) ELSE e( turnLeft e) w) m)
195,0.1875,DEF run m( WHILE c( frontIsClear c) w( pickMarker WHILE c( frontIsClear c) w( move pickMarker w) WHILE c( not c( frontIsClear c) c) w( move w) IFELSE c( rightIsClear c) i( turnLeft pickMarker i) ELSE e( turnLeft e) w) m)
209,0.21875,DEF run m( WHILE c( frontIsClear c) w( pickMarker WHILE c( frontIsClear c) w( move pickMarker w) IFELSE c( frontIsClear c) i( move move turnLeft i) ELSE e( turnLeft e) pickMarker move w) m)
218,0.28125,DEF run m( WHILE c( frontIsClear c) w( pickMarker WHILE c( frontIsClear c) w( move pickMarker w) turnRight pickMarker move w) m)
1103,0.3125,DEF run m( turnLeft REPEAT R=12 r( pickMarker IF c( frontIsClear c) i( turnLeft i) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( move move e) turnLeft turnRight move r) turnRight move pickMarker m)
1107,0.34375,DEF run m( turnLeft REPEAT R=12 r( pickMarker IF c( frontIsClear c) i( turnLeft i) move turnLeft turnRight move r) turnRight move pickMarker m)
1108,0.375,DEF run m( turnLeft REPEAT R=13 r( pickMarker IF c( frontIsClear c) i( turnLeft i) move turnLeft turnRight move r) turnRight move pickMarker m)
1236,0.4375,DEF run m( move turnRight move REPEAT R=13 r( pickMarker IF c( frontIsClear c) i( turnLeft i) move turnLeft turnRight move r) turnRight move pickMarker m)
7815,0.46875,DEF run m( WHILE c( noMarkersPresent c) w( pickMarker turnLeft move move w) pickMarker move m)
21454,0.5,DEF run m( pickMarker WHILE c( noMarkersPresent c) w( REPEAT R=9 r( turnLeft move turnRight pickMarker r) move IF c( leftIsClear c) i( move pickMarker i) w) m)
557436,0.53125,DEF run m( IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( WHILE c( rightIsClear c) w( move move turnRight move move pickMarker pickMarker w) move turnRight WHILE c( markersPresent c) w( putMarker w) move w) i) move m)
