num_evaluations,best_reward,best_program
1,0.0,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( turnRight move move w) w) IF c( markersPresent c) i( REPEAT R=18 r( move move move pickMarker move move r) i) r) move turnRight REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight IF c( noMarkersPresent c) i( turnLeft move i) w) turnRight turnLeft r) WHILE c( rightIsClear c) w( turnLeft pickMarker IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move move turnRight w) i) IF c( frontIsClear c) i( turnRight i) WHILE c( leftIsClear c) w( REPEAT R=18 r( move putMarker turnRight move move turnLeft r) w) w) m)
10,0.027777777777777787,DEF run m( pickMarker turnLeft move WHILE c( not c( rightIsClear c) c) w( move w) m)
48,0.05555555555555557,DEF run m( pickMarker turnLeft move WHILE c( frontIsClear c) w( move turnRight move move w) pickMarker IFELSE c( frontIsClear c) i( turnRight turnLeft move move i) ELSE e( move turnRight turnRight turnLeft e) m)
49,0.10243055555555557,DEF run m( pickMarker turnLeft move WHILE c( frontIsClear c) w( move turnRight pickMarker move w) pickMarker IFELSE c( frontIsClear c) i( turnRight turnLeft move move i) ELSE e( move turnRight turnRight turnLeft e) m)
104,0.2222222222222223,DEF run m( IFELSE c( markersPresent c) i( IF c( noMarkersPresent c) i( move turnRight move move i) REPEAT R=17 r( move pickMarker turnRight r) i) ELSE e( WHILE c( frontIsClear c) w( move w) e) m)
117,0.23263888888888895,DEF run m( IFELSE c( markersPresent c) i( turnRight REPEAT R=17 r( move pickMarker turnRight r) i) ELSE e( WHILE c( frontIsClear c) w( move w) e) m)
118,0.24479166666666669,DEF run m( IFELSE c( markersPresent c) i( turnRight REPEAT R=17 r( move move move move pickMarker turnRight r) i) ELSE e( WHILE c( frontIsClear c) w( move w) e) m)
141,0.27777777777777785,DEF run m( IFELSE c( markersPresent c) i( turnRight REPEAT R=17 r( move move move pickMarker turnRight r) i) ELSE e( WHILE c( frontIsClear c) w( move w) e) m)
144,0.4444444444444446,DEF run m( IFELSE c( markersPresent c) i( turnRight REPEAT R=17 r( move turnRight move move pickMarker turnRight r) i) ELSE e( WHILE c( frontIsClear c) w( move w) e) m)
169,0.4722222222222224,DEF run m( IFELSE c( markersPresent c) i( turnRight REPEAT R=17 r( turnLeft turnRight move move pickMarker turnRight r) i) ELSE e( WHILE c( frontIsClear c) w( move w) e) m)
368,0.7482638888888892,DEF run m( WHILE c( frontIsClear c) w( move REPEAT R=15 r( move move turnRight pickMarker r) w) m)
382,0.8420138888888892,DEF run m( WHILE c( frontIsClear c) w( move REPEAT R=18 r( move move turnRight pickMarker r) w) m)
403,0.9131944444444446,DEF run m( WHILE c( frontIsClear c) w( move move turnLeft REPEAT R=18 r( move move turnRight pickMarker r) w) m)
431,0.9635416666666667,DEF run m( WHILE c( frontIsClear c) w( move REPEAT R=7 r( turnLeft r) REPEAT R=18 r( move move turnRight pickMarker r) w) m)
555,0.9739583333333334,DEF run m( WHILE c( frontIsClear c) w( move pickMarker turnLeft turnLeft turnLeft REPEAT R=18 r( move move turnRight pickMarker r) w) m)
4278,0.9791666666666667,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( turnLeft move turnLeft move move move i) turnRight REPEAT R=6 r( move IFELSE c( frontIsClear c) i( turnRight move i) ELSE e( turnRight turnRight e) pickMarker r) move w) pickMarker turnLeft m)
9327,0.9791666666666669,DEF run m( REPEAT R=18 r( WHILE c( frontIsClear c) w( turnLeft move move move move WHILE c( markersPresent c) w( pickMarker turnLeft move w) w) turnRight WHILE c( not c( frontIsClear c) c) w( move w) move r) m)
9348,1.0000000000000002,DEF run m( REPEAT R=18 r( WHILE c( frontIsClear c) w( turnLeft move move move move WHILE c( markersPresent c) w( pickMarker turnLeft move w) w) turnRight WHILE c( frontIsClear c) w( move w) move r) m)
