num_evaluations,best_reward,best_program
1,0.3605654761904762,DEF run m( IF c( markersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move turnRight move turnLeft w) move WHILE c( rightIsClear c) w( move move move move putMarker w) IFELSE c( noMarkersPresent c) i( move turnRight move move move turnLeft i) ELSE e( move move move turnLeft turnRight move e) WHILE c( frontIsClear c) w( turnRight move pickMarker move move w) WHILE c( frontIsClear c) w( turnLeft putMarker w) w) WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move move pickMarker pickMarker turnRight w) w) i) IF c( not c( noMarkersPresent c) c) i( REPEAT R=4 r( WHILE c( frontIsClear c) w( move putMarker w) r) IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( move w) move i) move i) pickMarker move REPEAT R=18 r( IFELSE c( frontIsClear c) i( IFELSE c( noMarkersPresent c) i( move turnRight move turnRight move i) ELSE e( turnRight turnLeft move e) WHILE c( rightIsClear c) w( move move w) i) ELSE e( move WHILE c( frontIsClear c) w( move w) REPEAT R=5 r( move move move turnLeft pickMarker move r) WHILE c( frontIsClear c) w( move putMarker pickMarker move move move w) move IF c( markersPresent c) i( putMarker move i) e) WHILE c( frontIsClear c) w( IFELSE c( frontIsClear c) i( move move putMarker turnLeft move turnRight i) ELSE e( move turnRight turnRight turnRight turnRight e) w) WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( move pickMarker turnLeft turnLeft turnLeft putMarker i) ELSE e( move move putMarker turnRight e) w) WHILE c( leftIsClear c) w( turnLeft w) turnRight move r) move m)
17,0.376264880952381,DEF run m( pickMarker IF c( frontIsClear c) i( turnLeft i) putMarker move move move m)
35,0.595014880952381,DEF run m( pickMarker IF c( frontIsClear c) i( turnLeft i) REPEAT R=13 r( move move turnRight pickMarker r) IFELSE c( rightIsClear c) i( move move i) ELSE e( turnLeft turnRight turnRight move e) m)
79,0.6424851190476191,DEF run m( pickMarker IF c( frontIsClear c) i( turnLeft i) REPEAT R=13 r( move move turnRight pickMarker r) IFELSE c( rightIsClear c) i( move move i) ELSE e( turnLeft move turnRight move e) m)
88,0.7576636904761904,DEF run m( pickMarker IF c( frontIsClear c) i( turnLeft i) REPEAT R=13 r( move move turnLeft pickMarker r) IFELSE c( rightIsClear c) i( move move i) ELSE e( turnLeft move turnRight move e) m)
98,0.7654761904761904,DEF run m( pickMarker IF c( frontIsClear c) i( turnLeft i) REPEAT R=13 r( move move turnLeft pickMarker r) IFELSE c( rightIsClear c) i( turnRight move i) ELSE e( turnLeft move turnRight move e) m)
321,0.875,DEF run m( turnLeft REPEAT R=6 r( move WHILE c( frontIsClear c) w( move putMarker w) move turnLeft r) m)
328,0.8932291666666667,DEF run m( turnLeft REPEAT R=6 r( move WHILE c( frontIsClear c) w( move putMarker w) move putMarker turnLeft move r) m)
395,0.9088541666666667,DEF run m( turnLeft REPEAT R=8 r( move WHILE c( frontIsClear c) w( move putMarker w) move putMarker turnLeft move r) m)
439,0.9270833333333333,DEF run m( turnLeft REPEAT R=8 r( move WHILE c( frontIsClear c) w( move putMarker w) pickMarker turnRight r) m)
974,1.0,DEF run m( turnLeft turnRight WHILE c( frontIsClear c) w( WHILE c( not c( leftIsClear c) c) w( move w) turnLeft WHILE c( leftIsClear c) w( move w) w) move turnLeft move m)
