num_evaluations,best_reward,best_program
1,0.12847222222222224,DEF run m( turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
3,0.16319444444444445,DEF run m( turnRight turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
14,0.20312500000000006,DEF run m( turnRight move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
19,0.4427083333333335,DEF run m( turnRight move IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
21,0.5711805555555557,DEF run m( turnRight move turnLeft IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
33,0.604166666666667,DEF run m( turnRight move turnLeft IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( move move turnRight e) w) i) m)
40,0.6093750000000002,DEF run m( turnRight move turnLeft IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( pickMarker pickMarker move turnRight e) w) i) m)
43,0.6423611111111113,DEF run m( turnRight move turnLeft IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( pickMarker pickMarker move turnRight move e) w) i) m)
45,0.7899305555555558,DEF run m( turnRight IF c( frontIsClear c) i( turnRight i) turnLeft IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( pickMarker pickMarker move turnRight move e) w) i) m)
49,0.7968750000000002,DEF run m( turnRight IF c( leftIsClear c) i( turnRight i) turnLeft IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( pickMarker pickMarker move turnRight move e) w) i) m)
64,0.7986111111111114,DEF run m( turnRight IF c( leftIsClear c) i( turnRight i) move IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( pickMarker pickMarker move turnRight move e) w) i) m)
71,0.8281250000000003,DEF run m( turnRight IF c( leftIsClear c) i( turnRight i) move IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( pickMarker pickMarker turnRight e) w) i) m)
359,0.8333333333333336,DEF run m( move move IF c( rightIsClear c) i( move REPEAT R=10 r( move turnRight pickMarker move r) putMarker turnLeft move i) REPEAT R=9 r( move pickMarker WHILE c( frontIsClear c) w( move w) turnLeft move r) m)
388,0.8437500000000002,DEF run m( move move IF c( rightIsClear c) i( move REPEAT R=10 r( move turnRight pickMarker move r) putMarker turnLeft move i) REPEAT R=16 r( move pickMarker WHILE c( frontIsClear c) w( move w) turnLeft move r) m)
