num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( frontIsClear c) w( move w) m)
3,0.027777777777777787,DEF run m( turnRight putMarker move m)
57,0.05381944444444445,DEF run m( turnRight IF c( rightIsClear c) i( pickMarker i) WHILE c( frontIsClear c) w( putMarker move w) move m)
71,0.08854166666666667,DEF run m( turnRight move WHILE c( frontIsClear c) w( putMarker move w) move m)
76,0.13888888888888887,DEF run m( WHILE c( frontIsClear c) w( move w) move WHILE c( frontIsClear c) w( putMarker move w) move m)
99,0.16666666666666666,DEF run m( WHILE c( frontIsClear c) w( move w) move WHILE c( frontIsClear c) w( putMarker move w) turnLeft turnLeft putMarker m)
679,0.2395833333333334,DEF run m( WHILE c( noMarkersPresent c) w( putMarker IFELSE c( markersPresent c) i( move move turnLeft turnRight turnRight move i) ELSE e( move move move move e) w) m)
694,0.24826388888888892,DEF run m( WHILE c( noMarkersPresent c) w( putMarker IFELSE c( markersPresent c) i( move turnRight move i) ELSE e( move move move move e) w) m)
715,0.34895833333333337,DEF run m( WHILE c( noMarkersPresent c) w( putMarker IFELSE c( leftIsClear c) i( move turnRight move i) ELSE e( move move move move e) w) m)
717,0.41840277777777785,DEF run m( WHILE c( noMarkersPresent c) w( putMarker IFELSE c( leftIsClear c) i( move turnRight move i) ELSE e( move move move turnRight IF c( leftIsClear c) i( move turnRight i) e) w) m)
726,0.43750000000000006,DEF run m( WHILE c( noMarkersPresent c) w( putMarker IFELSE c( leftIsClear c) i( move turnRight move i) ELSE e( move move move turnRight IF c( leftIsClear c) i( move i) e) w) m)
742,0.49479166666666663,DEF run m( WHILE c( noMarkersPresent c) w( putMarker IFELSE c( leftIsClear c) i( move turnRight move i) ELSE e( move move turnLeft IF c( rightIsClear c) i( move i) turnRight IF c( leftIsClear c) i( move i) e) w) m)
750,0.49826388888888884,DEF run m( WHILE c( noMarkersPresent c) w( putMarker IFELSE c( leftIsClear c) i( move turnRight move i) ELSE e( move move turnLeft IF c( frontIsClear c) i( move i) turnRight IF c( leftIsClear c) i( move i) e) w) m)
798,0.5017361111111112,DEF run m( WHILE c( noMarkersPresent c) w( putMarker IFELSE c( leftIsClear c) i( move turnRight move i) ELSE e( move move turnLeft IF c( frontIsClear c) i( move i) turnRight IF c( rightIsClear c) i( move i) e) w) m)
815,0.5329861111111112,DEF run m( WHILE c( noMarkersPresent c) w( putMarker IFELSE c( leftIsClear c) i( move turnRight move i) ELSE e( move move turnLeft move turnRight IF c( rightIsClear c) i( move i) e) w) m)
1245,0.5989583333333334,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move move turnRight IF c( markersPresent c) i( move turnRight turnRight i) w) m)
1287,0.6302083333333335,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move move turnRight IF c( markersPresent c) i( move IF c( frontIsClear c) i( turnLeft i) i) w) m)
1373,0.6875000000000001,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move move turnRight IF c( markersPresent c) i( turnLeft move move i) w) m)
12583,0.8576388888888892,DEF run m( putMarker WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move turnLeft move WHILE c( noMarkersPresent c) w( putMarker move w) w) putMarker w) m)
12651,0.9045138888888891,DEF run m( putMarker WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move turnRight move WHILE c( noMarkersPresent c) w( putMarker move w) w) putMarker w) m)
18763,0.9861111111111114,DEF run m( move putMarker turnLeft turnLeft move putMarker move turnRight IF c( not c( markersPresent c) c) i( move pickMarker i) WHILE c( noMarkersPresent c) w( putMarker move move WHILE c( not c( noMarkersPresent c) c) w( turnRight move w) w) m)
18813,0.9930555555555557,DEF run m( move putMarker turnLeft turnLeft move putMarker move turnRight IF c( frontIsClear c) i( move pickMarker i) WHILE c( noMarkersPresent c) w( putMarker move move WHILE c( not c( noMarkersPresent c) c) w( turnRight move w) w) m)
18845,1.0000000000000002,DEF run m( move putMarker turnLeft turnLeft move move WHILE c( noMarkersPresent c) w( putMarker move move WHILE c( not c( noMarkersPresent c) c) w( turnRight move w) w) m)
