num_evaluations,best_reward,best_program
1,0.0,DEF run m( putMarker move m)
15,0.003125,DEF run m( turnRight move m)
46,0.024999999999999998,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move turnLeft turnRight w) IF c( markersPresent c) i( putMarker pickMarker move turnRight i) m)
59,0.028125,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move turnLeft turnRight w) IF c( frontIsClear c) i( IF c( leftIsClear c) i( move turnLeft i) i) m)
70,0.034375,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move turnLeft turnRight w) IF c( frontIsClear c) i( move move turnRight i) REPEAT R=15 r( move turnRight move r) m)
87,0.040625,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move turnLeft turnRight w) IF c( frontIsClear c) i( move move turnRight i) REPEAT R=15 r( move turnRight move r) m)
100,0.053125000000000006,DEF run m( WHILE c( frontIsClear c) w( turnRight move turnLeft turnRight w) IF c( frontIsClear c) i( move move turnRight i) REPEAT R=15 r( move turnRight move r) m)
113,0.05625000000000001,DEF run m( WHILE c( frontIsClear c) w( turnRight move turnLeft turnRight w) IF c( frontIsClear c) i( move IF c( frontIsClear c) i( move i) turnLeft i) REPEAT R=15 r( move turnRight move r) m)
127,0.056250000000000015,DEF run m( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move w) move turnLeft turnRight w) IF c( frontIsClear c) i( move IF c( frontIsClear c) i( move i) turnLeft i) REPEAT R=15 r( move turnRight move r) m)
135,0.05625000000000002,DEF run m( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move w) move turnLeft turnRight w) IF c( frontIsClear c) i( move IF c( markersPresent c) i( move i) turnLeft i) REPEAT R=15 r( move turnRight move r) m)
143,0.06562500000000002,DEF run m( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move w) move turnLeft turnRight w) IF c( frontIsClear c) i( turnLeft turnRight move turnRight IF c( markersPresent c) i( move i) turnLeft i) REPEAT R=15 r( move turnRight move r) m)
227,0.06875000000000002,DEF run m( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move w) move turnLeft turnRight w) IF c( frontIsClear c) i( turnLeft turnRight move turnRight IF c( markersPresent c) i( move i) turnRight i) REPEAT R=15 r( move turnRight move r) m)
661,0.084375,DEF run m( turnLeft turnLeft pickMarker pickMarker turnRight WHILE c( rightIsClear c) w( IF c( rightIsClear c) i( move putMarker turnLeft i) move w) m)
712,0.10000000000000002,DEF run m( turnLeft turnLeft pickMarker putMarker turnRight WHILE c( rightIsClear c) w( IF c( rightIsClear c) i( move putMarker turnLeft i) move w) m)
713,0.134375,DEF run m( turnLeft turnLeft pickMarker IF c( not c( frontIsClear c) c) i( move i) turnRight WHILE c( rightIsClear c) w( IF c( rightIsClear c) i( move putMarker turnLeft i) move w) m)
2386,0.14687500000000003,DEF run m( move IF c( not c( frontIsClear c) c) i( WHILE c( rightIsClear c) w( putMarker move turnLeft move w) i) WHILE c( frontIsClear c) w( turnRight putMarker move move w) putMarker m)
2455,0.15,DEF run m( move IF c( not c( frontIsClear c) c) i( WHILE c( rightIsClear c) w( putMarker move turnLeft move w) i) WHILE c( frontIsClear c) w( turnRight putMarker move WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) putMarker m)
2518,0.15312499999999998,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( rightIsClear c) w( putMarker move turnLeft move w) i) WHILE c( frontIsClear c) w( turnRight putMarker move WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) putMarker m)
2550,0.17500000000000004,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( rightIsClear c) w( putMarker move turnLeft move w) i) WHILE c( frontIsClear c) w( turnRight putMarker move WHILE c( not c( rightIsClear c) c) w( turnLeft w) w) putMarker m)
2560,0.20937500000000003,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( rightIsClear c) w( putMarker move turnLeft move w) i) WHILE c( frontIsClear c) w( turnRight putMarker turnLeft WHILE c( not c( rightIsClear c) c) w( turnLeft w) w) putMarker m)
5801,0.21250000000000002,DEF run m( WHILE c( frontIsClear c) w( turnLeft putMarker move REPEAT R=2 r( WHILE c( not c( frontIsClear c) c) w( move w) r) turnLeft move turnRight w) m)
6900,0.24375,DEF run m( turnRight move WHILE c( rightIsClear c) w( turnLeft WHILE c( frontIsClear c) w( putMarker IF c( leftIsClear c) i( move turnRight i) WHILE c( rightIsClear c) w( turnLeft turnLeft move turnLeft w) w) turnRight w) m)
6989,0.290625,DEF run m( turnRight move move WHILE c( rightIsClear c) w( turnLeft WHILE c( frontIsClear c) w( putMarker IF c( leftIsClear c) i( move turnRight i) WHILE c( rightIsClear c) w( turnLeft turnLeft move turnLeft w) w) turnRight w) m)
21151,0.29687500000000006,DEF run m( WHILE c( frontIsClear c) w( turnLeft putMarker WHILE c( frontIsClear c) w( putMarker turnLeft move turnLeft move move w) move putMarker putMarker w) m)
42232,0.3125,DEF run m( move turnRight move IF c( not c( frontIsClear c) c) i( turnRight i) WHILE c( noMarkersPresent c) w( move REPEAT R=2 r( WHILE c( frontIsClear c) w( turnRight putMarker move move w) r) turnLeft move turnLeft w) m)
53799,0.39062500000000006,DEF run m( REPEAT R=18 r( WHILE c( leftIsClear c) w( turnRight w) WHILE c( frontIsClear c) w( turnLeft turnLeft turnLeft move move w) REPEAT R=11 r( move turnRight move putMarker turnRight r) r) move m)
73539,0.421875,DEF run m( putMarker REPEAT R=18 r( turnLeft REPEAT R=13 r( IFELSE c( frontIsClear c) i( move putMarker turnRight turnLeft i) ELSE e( putMarker move turnLeft e) r) move putMarker turnRight move r) m)
148795,0.43437500000000007,DEF run m( WHILE c( not c( frontIsClear c) c) w( move turnRight w) putMarker REPEAT R=16 r( REPEAT R=11 r( pickMarker move turnRight move r) WHILE c( frontIsClear c) w( putMarker move w) r) move m)
148848,0.45625,DEF run m( WHILE c( not c( frontIsClear c) c) w( putMarker turnRight w) putMarker REPEAT R=16 r( REPEAT R=11 r( pickMarker move turnRight move r) WHILE c( frontIsClear c) w( putMarker move w) r) move m)
