num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( turnRight turnRight w) w) i) WHILE c( noMarkersPresent c) w( turnLeft turnRight move WHILE c( frontIsClear c) w( pickMarker IFELSE c( frontIsClear c) i( move move pickMarker i) ELSE e( move e) REPEAT R=0 r( move move turnLeft move r) WHILE c( frontIsClear c) w( putMarker turnRight move turnLeft w) w) w) m)
33,0.027777777777777787,DEF run m( putMarker m)
59,0.038194444444444454,DEF run m( REPEAT R=16 r( putMarker IFELSE c( rightIsClear c) i( move move turnLeft turnRight pickMarker move i) ELSE e( move e) turnRight r) m)
62,0.04166666666666668,DEF run m( REPEAT R=16 r( putMarker IFELSE c( rightIsClear c) i( move move turnLeft turnRight pickMarker move i) ELSE e( move e) move r) m)
64,0.05034722222222223,DEF run m( REPEAT R=16 r( putMarker WHILE c( rightIsClear c) w( turnRight w) move move r) m)
66,0.0607638888888889,DEF run m( REPEAT R=16 r( putMarker WHILE c( not c( leftIsClear c) c) w( turnRight w) move move r) m)
132,0.09027777777777779,DEF run m( REPEAT R=16 r( putMarker move r) m)
347,0.11111111111111112,DEF run m( turnLeft turnLeft WHILE c( frontIsClear c) w( putMarker turnRight move putMarker turnLeft move w) m)
351,0.12847222222222227,DEF run m( turnLeft turnLeft WHILE c( rightIsClear c) w( putMarker turnRight move putMarker turnLeft move w) m)
471,0.1423611111111111,DEF run m( turnLeft turnLeft WHILE c( noMarkersPresent c) w( putMarker turnRight move putMarker turnLeft move w) m)
2498,0.15625000000000003,DEF run m( move IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( turnRight putMarker e) move turnRight REPEAT R=14 r( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight move putMarker w) r) m)
2501,0.25347222222222227,DEF run m( move IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight putMarker e) move turnRight REPEAT R=14 r( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight move putMarker w) r) m)
2588,0.33854166666666674,DEF run m( move IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight putMarker e) turnLeft turnRight REPEAT R=14 r( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight move putMarker w) r) m)
2597,0.34201388888888906,DEF run m( move turnLeft turnLeft turnRight REPEAT R=14 r( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight move putMarker w) r) m)
2613,0.35763888888888895,DEF run m( move turnLeft putMarker turnRight turnRight REPEAT R=14 r( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight move putMarker w) r) m)
2614,0.3697916666666668,DEF run m( move turnLeft putMarker turnRight turnLeft REPEAT R=14 r( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight move putMarker w) r) m)
2640,0.3750000000000001,DEF run m( move turnLeft turnLeft turnRight turnLeft REPEAT R=14 r( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight move putMarker w) r) m)
2713,0.4166666666666669,DEF run m( move WHILE c( frontIsClear c) w( turnRight WHILE c( frontIsClear c) w( move w) w) turnLeft turnRight turnLeft REPEAT R=14 r( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight move putMarker w) r) m)
2715,0.4184027777777779,DEF run m( move WHILE c( frontIsClear c) w( turnRight WHILE c( frontIsClear c) w( move w) w) turnLeft move turnLeft REPEAT R=14 r( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight move putMarker w) r) m)
2725,0.4479166666666668,DEF run m( move WHILE c( frontIsClear c) w( turnRight WHILE c( frontIsClear c) w( move w) w) turnLeft move turnLeft REPEAT R=15 r( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight move putMarker w) r) m)
2733,0.4843750000000001,DEF run m( move WHILE c( frontIsClear c) w( turnRight WHILE c( frontIsClear c) w( move w) w) turnLeft turnLeft REPEAT R=15 r( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight move putMarker w) r) m)
2756,0.4913194444444445,DEF run m( move WHILE c( frontIsClear c) w( turnRight WHILE c( frontIsClear c) w( move w) w) turnLeft turnLeft REPEAT R=17 r( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight move putMarker w) r) m)
2815,0.5121527777777778,DEF run m( move WHILE c( frontIsClear c) w( turnRight WHILE c( frontIsClear c) w( move w) w) turnLeft IF c( frontIsClear c) i( move i) REPEAT R=17 r( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight move putMarker w) r) m)
2823,0.5190972222222222,DEF run m( move WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move w) w) turnLeft IF c( frontIsClear c) i( move i) REPEAT R=17 r( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight move putMarker w) r) m)
