num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( turnRight turnRight w) w) i) WHILE c( noMarkersPresent c) w( turnLeft turnRight move WHILE c( frontIsClear c) w( pickMarker IFELSE c( frontIsClear c) i( move move pickMarker i) ELSE e( move e) REPEAT R=0 r( move move turnLeft move r) WHILE c( frontIsClear c) w( putMarker turnRight move turnLeft w) w) w) m)
15,0.027777777777777787,DEF run m( putMarker turnLeft WHILE c( frontIsClear c) w( WHILE c( rightIsClear c) w( WHILE c( frontIsClear c) w( move w) w) move IF c( frontIsClear c) i( REPEAT R=16 r( turnLeft r) i) turnRight w) m)
95,0.05555555555555557,DEF run m( putMarker move IF c( noMarkersPresent c) i( turnRight turnLeft turnLeft putMarker i) m)
134,0.0763888888888889,DEF run m( putMarker move IF c( noMarkersPresent c) i( turnRight REPEAT R=12 r( WHILE c( not c( frontIsClear c) c) w( turnLeft putMarker move turnRight w) r) turnLeft turnLeft putMarker i) m)
190,0.08333333333333333,DEF run m( putMarker move IF c( noMarkersPresent c) i( turnRight REPEAT R=12 r( WHILE c( not c( frontIsClear c) c) w( turnLeft putMarker move turnRight w) r) turnLeft turnLeft WHILE c( rightIsClear c) w( turnRight REPEAT R=5 r( putMarker move r) w) i) m)
192,0.08854166666666667,DEF run m( putMarker move IF c( noMarkersPresent c) i( turnRight REPEAT R=12 r( WHILE c( frontIsClear c) w( turnLeft putMarker move turnRight w) r) turnLeft turnLeft WHILE c( rightIsClear c) w( turnRight REPEAT R=5 r( putMarker move r) w) i) m)
227,0.1527777777777778,DEF run m( putMarker move IF c( noMarkersPresent c) i( turnRight turnLeft turnLeft turnLeft WHILE c( rightIsClear c) w( turnRight REPEAT R=5 r( putMarker move r) w) i) m)
708,0.1545138888888889,DEF run m( WHILE c( frontIsClear c) w( putMarker move w) WHILE c( noMarkersPresent c) w( putMarker turnLeft IF c( frontIsClear c) i( move turnRight IF c( not c( leftIsClear c) c) i( move putMarker i) i) w) move turnLeft putMarker m)
732,0.17534722222222224,DEF run m( WHILE c( frontIsClear c) w( putMarker move w) WHILE c( noMarkersPresent c) w( putMarker turnLeft IF c( frontIsClear c) i( move turnRight IF c( not c( leftIsClear c) c) i( turnRight i) i) w) move turnLeft putMarker m)
1327,0.29513888888888895,DEF run m( turnRight REPEAT R=18 r( turnRight WHILE c( noMarkersPresent c) w( turnRight putMarker turnRight w) WHILE c( noMarkersPresent c) w( move putMarker w) IF c( frontIsClear c) i( move turnRight i) r) m)
1351,0.3315972222222223,DEF run m( move REPEAT R=18 r( turnRight WHILE c( noMarkersPresent c) w( turnRight putMarker turnRight w) WHILE c( noMarkersPresent c) w( move putMarker w) IF c( frontIsClear c) i( move turnRight i) r) m)
1353,0.4062500000000002,DEF run m( putMarker REPEAT R=18 r( turnRight WHILE c( noMarkersPresent c) w( turnRight putMarker turnRight w) WHILE c( noMarkersPresent c) w( move putMarker w) IF c( frontIsClear c) i( move turnRight i) r) m)
1451,0.42708333333333354,DEF run m( putMarker REPEAT R=19 r( turnRight WHILE c( noMarkersPresent c) w( turnRight putMarker turnRight w) WHILE c( noMarkersPresent c) w( move putMarker w) IF c( frontIsClear c) i( move turnRight i) r) m)
2215,0.43402777777777796,DEF run m( REPEAT R=17 r( turnLeft IF c( rightIsClear c) i( turnRight putMarker move i) WHILE c( markersPresent c) w( move w) r) putMarker move move WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move putMarker w) turnRight w) m)
4711,0.46527777777777796,DEF run m( WHILE c( frontIsClear c) w( move w) REPEAT R=19 r( turnLeft IF c( frontIsClear c) i( WHILE c( noMarkersPresent c) w( putMarker w) i) IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight putMarker w) i) r) m)
6746,0.4722222222222224,DEF run m( putMarker REPEAT R=16 r( turnLeft WHILE c( frontIsClear c) w( move turnRight turnLeft w) turnLeft WHILE c( markersPresent c) w( move w) turnRight IFELSE c( markersPresent c) i( turnRight i) ELSE e( putMarker e) r) move turnLeft putMarker m)
6756,0.49305555555555564,DEF run m( putMarker REPEAT R=17 r( turnLeft WHILE c( frontIsClear c) w( move turnRight turnLeft w) turnLeft WHILE c( markersPresent c) w( move w) turnRight IFELSE c( markersPresent c) i( turnRight i) ELSE e( putMarker e) r) move turnLeft putMarker m)
6780,0.5173611111111112,DEF run m( putMarker REPEAT R=17 r( turnLeft WHILE c( frontIsClear c) w( move turnRight turnLeft w) turnRight WHILE c( markersPresent c) w( move w) turnRight IFELSE c( markersPresent c) i( turnRight i) ELSE e( putMarker e) r) move turnLeft putMarker m)
7984,0.5277777777777778,DEF run m( turnRight REPEAT R=19 r( WHILE c( not c( frontIsClear c) c) w( turnRight w) move putMarker r) m)
11391,0.6302083333333335,DEF run m( REPEAT R=19 r( turnLeft WHILE c( noMarkersPresent c) w( putMarker w) WHILE c( frontIsClear c) w( WHILE c( noMarkersPresent c) w( putMarker w) move w) r) m)
32822,0.6440972222222225,DEF run m( REPEAT R=17 r( turnRight WHILE c( frontIsClear c) w( putMarker move WHILE c( markersPresent c) w( turnRight move w) IF c( not c( rightIsClear c) c) i( move turnLeft i) w) r) m)
