num_evaluations,best_reward,best_program
1,-0.16666666666666666,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight move w) REPEAT R=5 r( putMarker turnRight move move r) IF c( rightIsClear c) i( turnLeft turnLeft i) turnRight putMarker i) WHILE c( frontIsClear c) w( turnRight w) IF c( frontIsClear c) i( move i) move w) m)
2,0.0,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( move i) WHILE c( frontIsClear c) w( turnRight w) IF c( frontIsClear c) i( move i) move w) m)
9,0.06250000000000001,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( move i) putMarker w) m)
21,0.09027777777777779,DEF run m( WHILE c( frontIsClear c) w( IF c( markersPresent c) i( move i) putMarker w) m)
325,0.11284722222222221,DEF run m( move WHILE c( noMarkersPresent c) w( putMarker IF c( leftIsClear c) i( turnLeft move turnLeft turnLeft turnLeft i) w) m)
352,0.2274305555555556,DEF run m( move WHILE c( noMarkersPresent c) w( putMarker IF c( leftIsClear c) i( turnLeft move turnLeft WHILE c( markersPresent c) w( move w) IF c( frontIsClear c) i( turnRight i) i) w) m)
434,0.2430555555555556,DEF run m( WHILE c( not c( frontIsClear c) c) w( turnRight turnLeft w) WHILE c( noMarkersPresent c) w( putMarker IF c( leftIsClear c) i( turnLeft move turnLeft WHILE c( markersPresent c) w( move w) IF c( frontIsClear c) i( turnRight i) i) w) m)
487,0.28645833333333337,DEF run m( WHILE c( not c( frontIsClear c) c) w( turnRight turnLeft w) WHILE c( noMarkersPresent c) w( putMarker IF c( leftIsClear c) i( turnLeft move turnLeft WHILE c( markersPresent c) w( move w) IF c( rightIsClear c) i( turnRight i) i) w) m)
4152,0.34027777777777785,DEF run m( WHILE c( frontIsClear c) w( turnLeft WHILE c( noMarkersPresent c) w( putMarker move turnRight w) WHILE c( frontIsClear c) w( move w) turnLeft turnLeft move w) IF c( markersPresent c) i( move i) putMarker m)
4155,0.41493055555555564,DEF run m( WHILE c( frontIsClear c) w( turnLeft WHILE c( noMarkersPresent c) w( putMarker move turnRight w) WHILE c( frontIsClear c) w( move w) turnLeft turnLeft w) IF c( markersPresent c) i( move i) putMarker m)
4174,0.4375000000000001,DEF run m( WHILE c( frontIsClear c) w( turnLeft WHILE c( noMarkersPresent c) w( putMarker move turnRight w) WHILE c( frontIsClear c) w( move w) turnLeft IF c( noMarkersPresent c) i( putMarker i) turnLeft move w) IF c( markersPresent c) i( move i) putMarker m)
6370,0.4635416666666668,DEF run m( WHILE c( frontIsClear c) w( turnLeft WHILE c( noMarkersPresent c) w( putMarker turnLeft WHILE c( frontIsClear c) w( move w) turnRight w) WHILE c( frontIsClear c) w( move w) turnLeft IF c( noMarkersPresent c) i( putMarker i) turnLeft move w) m)
10058,0.5017361111111112,DEF run m( REPEAT R=19 r( turnLeft WHILE c( frontIsClear c) w( move w) turnRight WHILE c( noMarkersPresent c) w( putMarker turnRight move w) turnLeft r) move putMarker m)
10527,0.697916666666667,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=10 r( turnLeft WHILE c( noMarkersPresent c) w( putMarker w) IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) turnLeft turnLeft w) m)
14807,0.9062500000000003,DEF run m( REPEAT R=19 r( REPEAT R=10 r( WHILE c( noMarkersPresent c) w( putMarker turnRight w) WHILE c( noMarkersPresent c) w( putMarker turnLeft turnLeft turnLeft turnRight w) IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) r) m)
14847,0.9097222222222225,DEF run m( REPEAT R=19 r( REPEAT R=16 r( WHILE c( noMarkersPresent c) w( putMarker turnRight w) WHILE c( noMarkersPresent c) w( putMarker turnLeft turnLeft turnLeft turnRight w) IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) r) m)
17938,0.9548611111111115,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=14 r( turnLeft WHILE c( noMarkersPresent c) w( putMarker turnLeft w) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) turnLeft turnLeft w) m)
49124,0.9965277777777779,DEF run m( REPEAT R=19 r( turnRight REPEAT R=19 r( turnLeft turnRight turnLeft turnRight WHILE c( noMarkersPresent c) w( putMarker turnLeft w) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) turnLeft turnLeft turnRight move r) turnRight turnLeft turnRight m)
49224,1.0000000000000002,DEF run m( REPEAT R=19 r( turnRight REPEAT R=13 r( turnLeft turnRight turnLeft turnRight WHILE c( noMarkersPresent c) w( putMarker turnLeft w) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) turnLeft turnLeft turnRight move r) turnRight turnLeft turnRight m)
